日期,代码,名称,价格
2026-05-18,000620,盈新发展,3.39
2026-05-18,002131,利欧股份,6.90
2026-05-18,002465,海格通信,16.01
2026-05-18,002611,东方精工,19.38
2026-05-18,300222,科大智能,13.71
2026-05-19,000685,中山公用,12.90
2026-05-19,002131,利欧股份,7.40
2026-05-19,002185,华天科技,15.30
2026-05-19,002611,东方精工,20.35
2026-05-19,300031,宝通科技,26.69
2026-05-20,000001,平安银行,10.77
2026-05-20,000003,PT金田A,NaN
2026-05-20,000004,*ST国华,NaN
2026-05-20,000005,ST星源,NaN
2026-05-20,000007,全新好,12.49
2026-05-20,000008,神州高铁,2.67
2026-05-20,000009,中国宝安,7.88
2026-05-20,000013,*ST石化A,NaN
2026-05-20,000015,PT中浩A,NaN
2026-05-20,000016,*ST康佳A,3.23
2026-05-20,000018,神城A退,NaN
2026-05-20,000019,深粮控股,6.97
2026-05-20,000021,深科技,37.85
2026-05-20,000023,*ST深天,NaN
2026-05-20,000024,招商地产,NaN
2026-05-20,000028,国药一致,24.00
2026-05-20,000032,深桑达Ａ,20.00
2026-05-20,000033,新都退,NaN
2026-05-20,000036,华联控股,5.68
2026-05-20,000038,大通退,NaN
2026-05-20,000040,*ST旭蓝,NaN
2026-05-20,000042,中洲控股,10.23
2026-05-20,000045,深纺织Ａ,12.20
2026-05-20,000046,*ST泛海,NaN
2026-05-20,000047,ST中侨,NaN
2026-05-20,000049,德赛电池,27.06
2026-05-20,000059,华锦股份,4.86
2026-05-20,000060,中金岭南,7.25
2026-05-20,000061,农 产 品,6.66
2026-05-20,000062,深圳华强,34.41
2026-05-20,000065,北方国际,12.77
2026-05-20,000066,中国长城,20.77
2026-05-20,000070,特发信息,19.84
2026-05-20,000089,深圳机场,6.73
2026-05-20,000150,*ST宜康,NaN
2026-05-20,000151,中成股份,12.07
2026-05-20,000157,中联重科,7.25
2026-05-20,000166,申万宏源,4.47
2026-05-20,000301,东方盛虹,12.72
2026-05-20,000333,美的集团,81.50
2026-05-20,000402,金 融 街,3.04
2026-05-20,000405,ST鑫光,NaN
2026-05-20,000406,石油大明,NaN
2026-05-20,000407,胜利股份,4.83
2026-05-20,000408,藏格矿业,79.91
2026-05-20,000411,英特集团,11.99
2026-05-20,000412,ST五环,NaN
2026-05-20,000413,ST旭电,NaN
2026-05-20,000416,*ST民控,NaN
2026-05-20,000417,合百集团,9.53
2026-05-20,000418,小天鹅A,NaN
2026-05-20,000420,吉林化纤,4.89
